CustomerID,Age,Gender,AnnualIncome,SpendingScore,PurchaseFrequency,TotalSpend,LoyaltyYears
1001,56,Male,97371,36,18,27409,13
1002,46,Female,131472,11,27,30860,13
1003,32,Male,22049,99,9,33112,13
1004,60,Male,51616,26,30,23609,15
1005,25,Female,123727,42,27,32246,5
1006,38,Female,132893,18,11,23624,6
1007,56,Female,146603,52,27,43765,5
1008,36,Female,40932,57,35,33606,11
1009,40,Female,137796,48,52,45651,12
1010,28,Female,49855,51,42,32577,5
1011,28,Female,81434,35,8,16995,4
1012,41,Female,92694,59,5,31234,3
1013,53,Male,63016,34,51,36127,3
1014,57,Female,27400,33,46,27295,4
1015,41,Female,137858,22,12,26743,9
1016,20,Male,62642,69,30,29840,2
1017,39,Female,35151,16,37,19951,15
1018,19,Male,71407,66,26,37505,9
1019,41,Male,86690,45,22,31807,1
1020,47,Female,24499,54,37,30217,14
1021,55,Male,26295,29,11,14219,15
1022,19,Male,140885,74,38,50697,15
1023,38,Male,146071,17,10,24575,1
1024,50,Male,79040,25,25,20323,5
1025,29,Female,32183,23,36,22196,6
1026,39,Male,49299,85,50,45674,6
1027,42,Female,32874,96,36,43352,3
1028,44,Male,136336,24,49,35907,7
1029,59,Male,52711,75,37,37718,9
1030,45,Male,25539,41,19,19776,11
1031,33,Male,127941,96,50,54100,12
1032,32,Female,73351,72,40,42021,10
1033,20,Female,81267,95,33,46920,8
1034,54,Male,143133,60,25,40199,6
1035,24,Male,68354,34,24,30240,12
1036,38,Female,146063,67,33,45029,8
1037,26,Male,22557,72,38,32890,12
1038,56,Male,58360,71,13,28114,5
1039,35,Male,102018,31,50,35453,8
1040,21,Female,22200,67,14,22916,10
1041,42,Female,132476,67,24,37462,12
1042,31,Female,88497,95,26,42991,4
1043,26,Male,66975,58,36,35281,10
1044,43,Male,41357,61,42,29206,8
1045,19,Female,139121,51,31,40040,10
1046,37,Female,97505,79,18,37856,12
1047,45,Female,22869,24,50,27531,2
1048,24,Female,146114,63,21,43645,12
1049,25,Male,81135,69,49,46265,12
1050,52,Female,70108,17,26,20212,5
1051,31,Male,132296,62,23,37584,9
1052,34,Female,114179,69,14,37300,4
1053,53,Male,110272,14,20,22364,11
1054,57,Female,58467,77,50,40696,6
1055,21,Female,43328,15,37,27835,15
1056,19,Female,139181,56,13,34475,1
1057,23,Female,111412,64,42,42503,9
1058,59,Male,106831,49,20,26589,1
1059,21,Female,23987,61,13,24807,5
1060,46,Male,78871,25,10,16745,4
1061,35,Male,42399,22,8,13459,13
1062,43,Male,148391,39,29,40128,12
1063,51,Male,66214,28,15,17765,13
1064,27,Female,119522,26,32,32241,13
1065,53,Male,106416,72,20,41579,14
1066,31,Male,90271,28,48,28491,3
1067,48,Male,64064,67,17,28361,13
1068,32,Female,145615,64,6,33312,6
1069,25,Female,90091,99,36,47694,2
1070,31,Female,127450,99,13,44475,3
1071,40,Female,60818,71,26,31495,5
1072,57,Male,65525,32,22,21927,15
1073,38,Male,39830,18,37,20297,9
1074,33,Female,37429,21,24,17265,2
1075,35,Male,26893,10,17,12223,10
